# Results from Tracker
# Time [s]	Position [cm]
1.371666666666666856e+01	-8.336679607439495499e+01
1.373333333333333428e+01	-8.298092163021242129e+01
1.375000000000000000e+01	-8.226628902189705173e+01
1.376666666666666750e+01	-8.254265840129390597e+01
1.378333333333333499e+01	-8.168281221548400595e+01
1.380000000000000071e+01	-8.112572732631014105e+01
1.381666666666666821e+01	-8.103562057604266045e+01
1.383333333333333393e+01	-8.037729157498844756e+01
1.385000000000000142e+01	-8.041092698807652539e+01
1.386666666666666714e+01	-7.969347081535327959e+01
1.388333333333333464e+01	-7.958850215167085196e+01
1.390000000000000036e+01	-7.952609480052085189e+01
1.391666666666666785e+01	-7.873890151766150325e+01
1.393333333333333357e+01	-7.852711550138469931e+01
1.395000000000000107e+01	-7.847876383044602733e+01
1.395000000000000107e+01	-7.889106000879142755e+01
1.396666666666666856e+01	-7.931071047014604858e+01
1.398333333333333428e+01	-7.994507525328614861e+01
1.400000000000000178e+01	-8.199232214352015546e+01
1.401666666666666750e+01	-8.130116079975958598e+01
1.403333333333333499e+01	-8.185120625333007638e+01
1.405000000000000071e+01	-8.359506984520092487e+01
1.406666666666666821e+01	-8.396736431948657753e+01
1.408333333333333393e+01	-8.497702240423514297e+01
1.410000000000000142e+01	-8.647927979155008416e+01
1.411666666666666714e+01	-8.693397540479264762e+01
1.413333333333333464e+01	-8.747642588910761674e+01
1.415000000000000036e+01	-8.849563211167827603e+01
1.416666666666666785e+01	-8.941125282923209738e+01
1.418333333333333357e+01	-9.027282785891807748e+01
1.420000000000000107e+01	-9.116017150282988268e+01
1.421666666666666856e+01	-9.193735798806758908e+01
1.423333333333333428e+01	-9.233381258454096496e+01
1.425000000000000178e+01	-9.346664189767857067e+01
1.426666666666666750e+01	-9.446163363525921852e+01
1.428333333333333499e+01	-9.593311373194850944e+01
1.430000000000000071e+01	-9.630040978212794300e+01
1.431666666666666821e+01	-9.640424422731634024e+01
1.433333333333333393e+01	-9.805093244001508879e+01
1.435000000000000142e+01	-9.748984367856975553e+01
1.436666666666666714e+01	-9.875021212680876204e+01
1.438333333333333464e+01	-1.000501862916147360e+02
1.440000000000000036e+01	-1.020169125423489049e+02
1.441666666666666785e+01	-1.018796070758350965e+02
1.443333333333333357e+01	-1.030016491732265678e+02
1.445000000000000107e+01	-1.036473071372220431e+02
1.446666666666666856e+01	-1.034960947732348870e+02
1.448333333333333428e+01	-1.046903079896292752e+02
1.450000000000000000e+01	-1.061657180180569355e+02
1.451666666666666750e+01	-1.065123637318599066e+02
1.453333333333333499e+01	-1.071944529141307498e+02
1.455000000000000071e+01	-1.078004777689020557e+02
1.456666666666666821e+01	-1.097369096716738142e+02
1.458333333333333393e+01	-1.107005968484243681e+02
1.460000000000000142e+01	-1.112917785469637835e+02
1.461666666666666714e+01	-1.114210966750751481e+02
1.463333333333333464e+01	-1.123265509849725134e+02
1.465000000000000036e+01	-1.133164023907487632e+02
1.466666666666666785e+01	-1.149644340815572292e+02
1.468333333333333357e+01	-1.149994975484502646e+02
1.470000000000000107e+01	-1.158683361228632975e+02
1.471666666666666679e+01	-1.167999158052153206e+02
1.473333333333333428e+01	-1.187452106971369972e+02
1.475000000000000000e+01	-1.179228382345689710e+02
1.476666666666666750e+01	-1.192561576558568390e+02
